"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=1 Win=16391 Len=0"
"2","0.003956","192.168.0.105","37.130.194.56","SSL","143","Continuation Data"
"3","0.016085","192.168.0.105","37.130.194.56","SSL","1108","Continuation Data"
"4","0.018410","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=1213 Win=16391 Len=0"
"5","0.021984","192.168.0.105","37.130.194.56","SSL","1109","Continuation Data"
"6","0.028012","192.168.0.105","37.130.194.56","SSL","139","Continuation Data"
"7","0.039131","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=3322 Win=16391 Len=0"
"8","0.045910","192.168.0.105","37.130.194.56","SSL","139","Continuation Data"
"9","0.051895","192.168.0.105","37.130.194.56","SSL","1135","Continuation Data"
"10","0.057848","192.168.0.105","37.130.194.56","SSL","1135","Continuation Data"
"11","0.063975","192.168.0.105","37.130.194.56","SSL","136","Continuation Data"
"12","0.064963","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=3492 Win=16391 Len=0"
"13","0.073935","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=5654 Win=16391 Len=0"
"14","0.087769","192.168.0.105","37.130.194.56","SSL","134","Continuation Data"
"15","0.088028","192.168.0.105","37.130.194.56","SSL","1158","Continuation Data"
"16","0.093754","192.168.0.105","37.130.194.56","SSL","1159","Continuation Data"
"17","0.102214","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=5816 Win=16391 Len=0"
"18","0.105721","192.168.0.105","37.130.194.56","SSL","129","Continuation Data"
"19","0.106096","192.168.0.105","37.130.194.56","SSL","1221","Continuation Data"
"20","0.108332","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=8025 Win=16391 Len=0"
"21","0.111618","192.168.0.105","37.130.194.56","SSL","1222","Continuation Data"
"22","0.123075","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=9267 Win=16391 Len=0"
"23","0.123631","192.168.0.105","37.130.194.56","SSL","133","Continuation Data"
"24","0.138030","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=10514 Win=16391 Len=0"
"25","0.141582","192.168.0.105","37.130.194.56","SSL","1166","Continuation Data"
"26","0.147683","192.168.0.105","37.130.194.56","SSL","130","Continuation Data"
"27","0.148096","192.168.0.105","37.130.194.56","SSL","1166","Continuation Data"
"28","0.161992","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=11702 Win=16391 Len=0"
"29","0.165657","192.168.0.105","37.130.194.56","SSL","130","Continuation Data"
"30","0.177558","192.168.0.105","37.130.194.56","SSL","1115","Continuation Data"
"31","0.181369","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=12890 Win=16391 Len=0"
"32","0.183561","192.168.0.105","37.130.194.56","SSL","133","Continuation Data"
"33","0.183952","192.168.0.105","37.130.194.56","SSL","1116","Continuation Data"
"34","0.197733","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=14030 Win=16391 Len=0"
"35","0.207425","192.168.0.105","37.130.194.56","SSL","135","Continuation Data"
"36","0.207718","192.168.0.105","37.130.194.56","SSL","1188","Continuation Data"
"37","0.213356","192.168.0.105","37.130.194.56","SSL","1188","Continuation Data"
"38","0.221533","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=15173 Win=16391 Len=0"
"39","0.225571","192.168.0.105","37.130.194.56","SSL","131","Continuation Data"
"40","0.227965","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=17441 Win=16391 Len=0"
"41","0.243359","192.168.0.105","37.130.194.56","SSL","1219","Continuation Data"
"42","0.249276","192.168.0.105","37.130.194.56","SSL","127","Continuation Data"
"43","0.249458","192.168.0.105","37.130.194.56","SSL","1220","Continuation Data"
"44","0.258632","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=18683 Win=16391 Len=0"
"45","0.258757","192.168.0.105","37.130.194.64","TLSv1.2","163","Application Data"
"46","0.264948","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=19922 Win=16391 Len=0"
"47","0.267407","192.168.0.105","37.130.194.56","SSL","126","Continuation Data"
"48","0.272707","37.130.194.64","192.168.0.105","TCP","54","443  >  55511 [ACK] Seq=1 Ack=110 Win=189 Len=0"
"49","0.272976","37.130.194.64","192.168.0.105","TLSv1.2","159","Application Data"
"50","0.285347","192.168.0.105","37.130.194.56","SSL","123","Continuation Data"
"51","0.291324","192.168.0.105","37.130.194.56","SSL","1137","Continuation Data"
"52","0.297213","192.168.0.105","37.130.194.56","SSL","1138","Continuation Data"
"53","0.301113","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=20063 Win=16391 Len=0"
"54","0.303179","192.168.0.105","37.130.194.56","SSL","127","Continuation Data"
"55","0.311532","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=22230 Win=16391 Len=0"
"56","0.315969","192.168.0.105","37.130.194.64","TCP","54","55511  >  443 [ACK] Seq=110 Ack=106 Win=516 Len=0"
"57","0.321123","192.168.0.105","37.130.194.56","SSL","1216","Continuation Data"
"58","0.327080","192.168.0.105","37.130.194.56","SSL","126","Continuation Data"
"59","0.327274","192.168.0.105","37.130.194.56","SSL","1216","Continuation Data"
"60","0.335105","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=23465 Win=16391 Len=0"
"61","0.342788","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=24699 Win=16391 Len=0"
"62","0.345010","192.168.0.105","37.130.194.56","SSL","128","Continuation Data"
"63","0.345257","192.168.0.105","37.130.194.56","SSL","1110","Continuation Data"
"64","0.350937","192.168.0.105","37.130.194.56","SSL","1110","Continuation Data"
"65","0.359499","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=25829 Win=16391 Len=0"
"66","0.362989","192.168.0.105","37.130.194.56","SSL","131","Continuation Data"
"67","0.377476","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=26962 Win=16391 Len=0"
"68","0.380927","192.168.0.105","37.130.194.56","SSL","1089","Continuation Data"
"69","0.387078","192.168.0.105","37.130.194.56","SSL","130","Continuation Data"
"70","0.387338","192.168.0.105","37.130.194.56","SSL","1090","Continuation Data"
"71","0.401112","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=28073 Win=16391 Len=0"
"72","0.405049","192.168.0.105","37.130.194.56","SSL","127","Continuation Data"
"73","0.420886","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=29182 Win=16391 Len=0"
"74","0.422902","192.168.0.105","37.130.194.56","SSL","128","Continuation Data"
"75","0.423345","192.168.0.105","37.130.194.56","SSL","1109","Continuation Data"
"76","0.428821","192.168.0.105","37.130.194.56","SSL","1110","Continuation Data"
"77","0.437550","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=30311 Win=16391 Len=0"
"78","0.440843","192.168.0.105","37.130.194.56","SSL","1100","Continuation Data"
"79","0.446913","192.168.0.105","37.130.194.56","SSL","124","Continuation Data"
"80","0.447191","192.168.0.105","37.130.194.56","SSL","1101","Continuation Data"
"81","0.461225","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=32413 Win=16391 Len=0"
"82","0.461399","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=33530 Win=16391 Len=0"
"83","0.464914","192.168.0.105","37.130.194.56","SSL","128","Continuation Data"
"84","0.482763","192.168.0.105","37.130.194.56","SSL","130","Continuation Data"
"85","0.483064","192.168.0.105","37.130.194.56","SSL","1152","Continuation Data"
"86","0.488660","192.168.0.105","37.130.194.56","SSL","1152","Continuation Data"
"87","0.497130","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=33680 Win=16391 Len=0"
"88","0.502712","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=35876 Win=16391 Len=0"
"89","0.506873","192.168.0.105","37.130.194.56","SSL","130","Continuation Data"
"90","0.509713","192.168.0.105","37.130.194.56","SSL","168","Continuation Data"
"91","0.518592","192.168.0.105","37.130.194.56","SSL","1166","Continuation Data"
"92","0.524710","192.168.0.105","37.130.194.56","SSL","127","Continuation Data"
"93","0.525021","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=1 Ack=36066 Win=16391 Len=0"
"94","0.525077","192.168.0.105","37.130.194.56","SSL","1167","Continuation Data"
"95","0.525217","37.130.194.56","192.168.0.105","SSL","120","Continuation Data"
"96","0.525221","37.130.194.56","192.168.0.105","SSL","156","Continuation Data"
"97","0.525310","192.168.0.105","37.130.194.56","TCP","54","55539  >  443 [ACK] Seq=38364 Ack=169 Win=515 Len=0"
"98","0.525915","192.168.0.105","37.130.194.56","SSL","120","Continuation Data"
"99","0.538756","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=37251 Win=16391 Len=0"
"100","0.542042","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=38430 Win=16391 Len=0"
"101","0.542546","192.168.0.105","37.130.194.56","SSL","123","Continuation Data"
"102","0.548439","192.168.0.105","37.130.194.56","SSL","1225","Continuation Data"
"103","0.554606","192.168.0.105","37.130.194.56","SSL","1225","Continuation Data"
"104","0.566575","192.168.0.105","37.130.194.56","SSL","125","Continuation Data"
"105","0.567693","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=39670 Win=16391 Len=0"
"106","0.578417","192.168.0.105","37.130.194.56","SSL","1175","Continuation Data"
"107","0.580267","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=40912 Win=16391 Len=0"
"108","0.584470","192.168.0.105","37.130.194.56","SSL","126","Continuation Data"
"109","0.584746","192.168.0.105","37.130.194.56","SSL","1176","Continuation Data"
"110","0.598667","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=42105 Win=16391 Len=0"
"111","0.607416","192.168.0.105","37.130.194.56","SSL","123","Continuation Data"
"112","0.607852","192.168.0.105","37.130.194.56","SSL","1119","Continuation Data"
"113","0.613470","192.168.0.105","37.130.194.56","SSL","1120","Continuation Data"
"114","0.621697","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=43296 Win=16391 Len=0"
"115","0.625433","192.168.0.105","37.130.194.56","SSL","125","Continuation Data"
"116","0.628842","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=45427 Win=16391 Len=0"
"117","0.642828","192.168.0.105","37.130.194.56","SSL","127","Continuation Data"
"118","0.642973","192.168.0.105","37.130.194.56","SSL","1113","Continuation Data"
"119","0.648745","192.168.0.105","37.130.194.56","SSL","1114","Continuation Data"
"120","0.659396","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=45571 Win=16391 Len=0"
"121","0.662986","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=47690 Win=16391 Len=0"
"122","0.665757","192.168.0.105","37.130.194.56","SSL","125","Continuation Data"
"123","0.666145","192.168.0.105","37.130.194.56","SSL","1217","Continuation Data"
"124","0.671717","192.168.0.105","37.130.194.56","SSL","1218","Continuation Data"
"125","0.675709","192.168.0.105","37.130.194.56","SSL","126","Continuation Data"
"126","0.680173","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=48924 Win=16391 Len=0"
"127","0.683803","192.168.0.105","37.130.194.56","SSL","122","Continuation Data"
